Ressource,HTTP Status Code,Inhaltstyp,Intern/Extern,Auf den Seiten gefunden,Auf den Seiten gefunden - Seite,Auf den Seiten gefunden - Gefunden in
https://passing.zone/cdn-cgi/l/email-protection,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/privacy/,<a>
https://passing.zone/5-clubs-easy-shamrock-with-zaps-augsburg-not-convention-2018/,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/pattern/shamrock-drinking/,<a>
https://passing.zone/media/scrambled-v-123-cc-sa-ib-3/,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/scrambled-v/,HTTP redirect
https://passing.zone/7-club-passing-workshop-by-cameron-james-berlinjc-2018/,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/berlin-convention-2018/,<a>
https://passing.zone/phoenician-waltz-minicon-gottingen-mai-2018/,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/berlin-convention-2018/,<a>
https://passing.zone/la-vache-qui-rit-ulm-2015/,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/freiburg-convention/,<a>
https://passing.zone/champi-freiburg-2016/,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/berlin-convention-2018/,<a>
https://passing.zone/4-handed-siteswap/,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/freiburg-convention/,<a>
https://passing.zone/wp-content/uploads/2024/04/Fallen-angels_base_pattern.jpg,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/pattern/fallen-angels/,<a>
https://passing.zone/wp-content/uploads/2024/08/ambled-mini-v-full.png,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/pattern/ambled-mini-v-ic-ca-2/,<a>
https://passing.zone/wp-json/wp/v2/users/13,404 Nicht gefunden,application/json,Intern,1,https://passing.zone/author/cameronford/,<link rel='alternate'>
https://passing.zone/wp-json/wp/v2/users/25,404 Nicht gefunden,application/json,Intern,1,https://passing.zone/author/christian-k/,<link rel='alternate'>
https://passing.zone/wp-json/wp/v2/users/18,404 Nicht gefunden,application/json,Intern,1,https://passing.zone/author/wiebkeschnapper/,<link rel='alternate'>
https://passing.zone/wp-json/wp/v2/users/49,404 Nicht gefunden,application/json,Intern,1,https://passing.zone/author/karinmarie/,<link rel='alternate'>
https://passing.zone/wp-content/uploads/2025/09/NovaesianWaltz.pdf,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/pattern/novaesian-waltz/,<a>
https://passing.zone/wp-content/uploads/2018/03/Dolby-5.1-mit-doppelgänger.jpg,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/pattern/dolby-5-1-mit-einzel-und-doppelganger-2/,<a>
https://passing.zone/wp-content/uploads/2018/03/Dolby-5.1.jpg,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/pattern/dolby-5-1-mit-einzel-und-doppelganger-2/,<a>
https://passing.zone/wp-content/uploads/2017/06/Zippy-list-Juli.xls,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/pattern/zippy_1-2/,<a>
https://passing.zone/wp-content/uploads/2016/01/highgate.pdf,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/hijacking/,<a>
https://passing.zone/wp-content/uploads/2016/01/Siteswaps 3O H5 - all.png,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/2-handed-siteswap/,<a>
https://passing.zone/wp-content/uploads/2020/01/passout_19_20_why-not-about-937x1024.jpg,404 Nicht gefunden,text/html,Intern,2,https://passing.zone/pattern/why-not-about-2/,<a>
https://passing.zone/wp-content/uploads/2020/01/passout_19_20_why-not-about-937x1024.jpg,404 Nicht gefunden,text/html,Intern,2,https://passing.zone/pattern/why-not-about-2/,<a>
https://passing.zone/wp-content/uploads/2021/01/NotationMiniEd2.png,404 Nicht gefunden,text/html,Intern,2,https://passing.zone/pattern/bruned-2/,<a>
https://passing.zone/wp-content/uploads/2021/01/NotationMiniEd2.png,404 Nicht gefunden,text/html,Intern,2,https://passing.zone/pattern/minied/,<a>
https://passing.zone/wp-content/uploads/2020/12/halt-mal-kurz-notation-neu-weiss.svg,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/pattern/halt-mal-kurz/,<a>
https://passing.zone/wp-json/wp/v2/users/7,404 Nicht gefunden,application/json,Intern,1,https://passing.zone/author/juli/,<link rel='alternate'>
https://passing.zone/wp-content/uploads/2020/12/halt-mal-kurz-walk-neu-weiss.svg,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/pattern/halt-mal-kurz/,<a>
https://passing.zone/wp-json/wp/v2/users/23,404 Nicht gefunden,application/json,Intern,2,https://passing.zone/author/iwchesser/,Link rel='alternate'> (Page header)
https://passing.zone/wp-json/wp/v2/users/23,404 Nicht gefunden,application/json,Intern,2,https://passing.zone/author/iwchesser/,<link rel='alternate'>
https://passing.zone/wp-content/uploads/2024/12/Techno-manipulation-patterns-1.pdf,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/techno-manipulation-patterns-2/,<a>
https://passing.zone/wp-content/uploads/2025/09/MCA_notations1.pdf,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/mini-chopabouts/,<a>
https://passing.zone/wp-content/uploads/2024/08/Scherzo-notation.png,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/pattern/scherzo-2/,<a>
https://passing.zone/wp-json/wp/v2/users/27,404 Nicht gefunden,application/json,Intern,2,https://passing.zone/author/rene/,Link rel='alternate'> (Page header)
https://passing.zone/wp-json/wp/v2/users/27,404 Nicht gefunden,application/json,Intern,2,https://passing.zone/author/rene/,<link rel='alternate'>
https://passing.zone/wp-content/uploads/2025/09/MCA_notations2.pdf,404 Nicht gefunden,text/html,Intern,1,https://passing.zone/mini-chopabouts/,<a>
https://passing.zone/wp-json/wp/v2/users/2099,404 Nicht gefunden,application/json,Intern,1,https://passing.zone/author/maja/,<link rel='alternate'>
https://passing.zone/wp-json/wp/v2/users/10,404 Nicht gefunden,application/json,Intern,1,https://passing.zone/author/nicki/,<link rel='alternate'>
https://passing.zone/wp-json/wp/v2/users/8,404 Nicht gefunden,application/json,Intern,1,https://passing.zone/author/niggl/,<link rel='alternate'>
https://passing.zone/wp-json/wp/v2/users/2101,404 Nicht gefunden,application/json,Intern,2,https://passing.zone/author/mees/,Link rel='alternate'> (Page header)
https://passing.zone/wp-json/wp/v2/users/2101,404 Nicht gefunden,application/json,Intern,2,https://passing.zone/author/mees/,<link rel='alternate'>
https://passing.zone/wp-json/wp/v2/users/9,404 Nicht gefunden,application/json,Intern,2,https://passing.zone/author/dr-ed/,Link rel='alternate'> (Page header)
https://passing.zone/wp-json/wp/v2/users/9,404 Nicht gefunden,application/json,Intern,2,https://passing.zone/author/dr-ed/,<link rel='alternate'>
https://juggling.graphics/,Fehler: Unbekannter Host,,Extern,1,https://passing.zone/resources/,<a>
